Segment,Start Date,Users,Week 0,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18,Week 19,Week 20,Week 21,Week 22,Week 23,Week 24,Week 25,Week 26,Week 27,Week 28,Week 29,Week 30,Week 31,Week 32,Week 33,Week 34,Week 35,Week 36,Week 37,Week 38,Week 39,Week 40,Week 41,Week 42,Week 43,Week 44,Week 45,Week 46,Week 47,Week 48,Week 49,Week 50,Week 51,Week 52
"",All time,100,90.09,53.64,35.49,29.15,29.88,27.28,24.98,22.18,22.19,21.47,20.43,19.07,18.91,18.91,18.12,17.72,16.6,16.7,16.07,16.29,15.68,15.48,15.76,15.59,14.92,15.31,14.91,14.17,13.85,12.86,13.41,14.0,13.86,13.62,12.65,12.87,14.06,13.59,13.82,13.38,13.81,13.17,13.16,13.36,13.58,13.82,14.3,14.34,14.66,14.5,15.98,14.2,1.24
"android, ios; Paid, Trial","Jan 29, 2018",965,88.6,51.61,42.69,37.82,36.68,32.54,32.12,29.53,30.05,30.16,28.6,26.01,28.08,28.29,26.32,25.7,26.53,25.91,24.35,23.73,23.42,23.32,23.94,24.04,22.38,22.59,21.55,21.87,22.07,21.14,21.87,20.31,19.9,19.59,18.96,18.65,19.59,18.34,18.96,17.72,18.13,16.89,17.93,17.2,18.13,17.31,15.85,15.34,16.79,16.89,17.72,14.2,1.24
"android, ios; Paid, Trial","Feb 05, 2018",474,87.97,59.49,43.25,37.34,32.91,32.91,28.27,23.63,27.85,24.47,22.36,20.25,20.68,22.57,21.73,19.62,19.83,18.35,15.61,18.57,17.72,18.35,16.67,16.67,17.72,20.04,18.57,16.24,15.4,14.35,15.82,15.82,16.88,15.4,17.09,18.14,14.56,15.61,15.4,16.03,17.09,14.56,15.19,15.61,14.98,14.56,13.08,14.98,13.29,13.5,12.45,2.74,0
"android, ios; Paid, Trial","Feb 12, 2018",375,91.73,61.07,43.2,34.93,38.93,34.67,28.53,26.93,22.13,22.4,22.67,22.13,22.93,22.67,21.87,20.53,18.4,20.0,17.6,18.67,17.07,17.33,17.33,15.73,15.73,16.8,14.93,15.73,14.93,15.47,15.47,14.4,15.47,16.8,14.4,11.2,14.4,13.6,14.67,12.8,13.6,13.07,14.93,13.33,12.0,12.27,14.13,11.73,13.33,9.6,1.07,0,0
"android, ios; Paid, Trial","Feb 19, 2018",383,94.26,61.62,45.43,40.73,36.81,33.42,32.64,25.85,27.68,25.07,22.45,21.67,19.32,20.1,20.89,20.1,17.23,20.37,18.28,18.02,19.06,18.54,19.32,18.02,16.71,18.8,18.28,18.02,15.4,14.88,15.14,14.88,14.1,9.92,11.23,13.05,15.4,13.32,13.84,12.79,13.32,14.62,11.75,12.01,12.27,14.1,13.84,13.58,12.27,2.09,0,0,0
"android, ios; Paid, Trial","Feb 26, 2018",370,91.08,55.95,41.35,33.51,31.89,29.19,27.3,22.97,23.78,24.32,20.27,18.38,17.3,17.84,15.95,13.78,13.78,15.41,14.59,12.16,13.24,11.89,12.43,12.16,12.43,11.08,10.81,10.54,10.81,9.19,9.46,9.19,10.54,10.0,8.65,8.65,8.92,10.0,10.54,8.65,8.92,11.35,9.19,8.65,9.46,7.84,6.76,5.41,0.81,0,0,0,0
"android, ios; Paid, Trial","Mar 05, 2018",334,91.62,61.38,41.32,37.43,38.02,30.54,33.83,29.94,32.04,30.24,29.04,24.55,22.16,25.45,23.95,21.86,21.56,20.96,21.86,19.46,18.56,20.36,17.07,19.16,17.37,16.47,16.47,14.67,14.37,13.77,14.97,14.97,13.17,12.87,13.77,15.27,14.37,14.07,15.87,17.66,14.97,12.57,13.17,14.97,15.27,15.27,12.28,1.5,0,0,0,0,0
"android, ios; Paid, Trial","Mar 12, 2018",341,87.98,53.96,38.71,34.02,34.6,31.09,28.15,26.39,26.39,26.69,23.46,21.7,22.58,21.7,18.48,19.35,18.18,17.01,18.48,17.89,17.89,20.23,17.01,17.6,16.42,16.72,15.25,14.08,15.25,13.49,14.08,15.54,13.49,14.08,14.66,13.78,13.2,12.02,13.49,10.56,11.14,9.68,8.5,8.21,8.21,9.38,0.59,0,0,0,0,0,0
"android, ios; Paid, Trial","Mar 19, 2018",337,91.1,53.71,42.14,35.01,35.61,31.75,29.08,24.93,22.26,23.74,22.26,21.07,20.47,20.18,19.88,18.99,16.62,16.32,15.73,16.62,16.62,17.21,15.43,13.65,14.84,13.35,12.17,16.62,16.62,12.76,14.24,12.17,10.68,10.98,10.09,9.5,9.2,10.68,10.09,9.5,8.9,10.39,11.28,10.39,10.09,0.59,0,0,0,0,0,0,0
"android, ios; Paid, Trial","Mar 26, 2018",320,89.38,55.63,42.19,31.25,34.06,34.06,30.31,28.44,27.19,25.62,24.38,24.38,23.13,23.44,24.69,24.06,20.63,19.06,22.19,22.81,21.25,19.69,17.5,19.69,18.13,18.44,17.81,18.13,14.37,12.5,14.06,14.69,16.25,14.69,14.69,14.37,13.75,13.75,14.06,14.06,15.0,15.0,13.13,12.5,1.56,0,0,0,0,0,0,0,0
"android, ios; Paid, Trial","Apr 02, 2018",373,92.49,58.45,40.48,32.44,33.24,32.98,28.95,24.4,24.66,22.25,19.57,19.57,18.23,17.16,17.43,15.55,17.16,17.16,16.89,15.55,16.89,17.16,17.16,16.35,14.75,15.28,17.16,14.75,16.09,12.6,14.21,15.01,13.94,14.75,11.53,15.01,12.6,12.33,11.26,12.6,11.53,9.12,7.77,1.07,0,0,0,0,0,0,0,0,0
